標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號
大安信義翡麗休旅車位,台北市大安區信義路三段,17.1年,單售車位,4.57,0,,--,塔式車位,150,0584PD
新美妝吳興市場金店面,台北市信義區吳興街,50.9年,店面/公寓,21.76,16.29,1廳1衛(含加蓋1衛),1樓/4樓,無車位,3780,6536PX
光復北路優質金店,台北市松山區光復北路,31.6年,店面/辦公,60.61,16.79,1房2廳2衛,B1-1樓/10樓,無車位,4680,0374QU
敦化風采升降平面車位,台北市大安區敦化南路二段,30.7年,單售車位,8.56,0,,--,升降平面車位,220,0004CR
大安區土地持分大優質宅,台北市大安區通安街,45.7年,公寓,51.4,39.29,4房2廳3衛3室(含加蓋2衛),B1-3樓/5樓,無車位,4990,0067SM
臥龍邊間大面寬住辦,台北市大安區臥龍街,47.9年,公寓,19.16,12.61,3廳1衛2室(含加蓋1廳),1樓/5樓,無車位,2688,3733FG
一戶一天地．麗山新村,台北市內湖區環山路二段,52.9年,透天/辦公,49.58,48.49,2廳,1-2樓/2樓,無車位,5520,7617SP
稀有＊大直皇普精潢美景戶皇普河畔,台北市中山區明水路,29.4年,大樓,12.93,9.6,1房1廳1衛1室(含加蓋1房),9-10樓/16樓,無車位,2088,7928YG
中正捷運店面透天,台北市中正區南昌路一段,75.9年,店面,34.75,31.38,6房3廳4衛(含加蓋4房1廳2衛),1-2樓/2樓,無車位,8900,2142BJ
忠恕近未來捷運一樓,台北市萬華區中華路二段,57.3年,店面/公寓,6.82,6.82,1廳1衛1室,1樓/5樓,無車位,830,6707CS
大直近公園捷運雅寓,台北市中山區北安路,38.9年,公寓,29.65,25.05,2房2廳1衛,4樓/5樓,無車位,2288,3669NY
正汀州低總價金店面,台北市中正區汀州路二段,54.2年,店面/辦公,18.24,11.56,1廳2衛(含加蓋2衛),1樓/4樓,無車位,2938,8939HJ
五分埔正路店霸,台北市信義區永吉路,40.4年,店面,47.93,20.81,2廳1衛2室(含加蓋1室),1樓/5樓,無車位,6800,6352PC
萬象之都車位４萬象之都,台北市士林區德行西路,17.4年,單售車位,10.68,0,,--,坡道平面車位,280,3759SZ
電梯收租套房,台北市中山區德惠街,40.3年,華廈,42.22,38.37,7房2廳7衛(含加蓋2房2廳2衛),7樓/7樓,無車位,3480,4326SJ
中正學區稀有純一樓,台北市大安區和平東路一段,36.9年,公寓,38.49,32.23,3房2廳2衛,1樓/5樓,無車位,5488,0059WK
環河南臨路燙金店面,台北市萬華區環河南路二段,43.8年,店面/辦公,343.27,338.23,1房1廳2衛,-1樓/7樓,無車位,10000,5131LG
萬象之都車位２萬象之都,台北市士林區德行西路,17.4年,單售車位,10.68,0,,--,坡道平面車位,280,2844AL
Ｈ２５精緻小宅邸,台北市中正區齊東街,1.2年,華廈,17.63,10.98,1房1廳1衛,3樓/7樓,無車位,2638,4538DG
近世貿★致富金店★,台北市信義區莊敬路,51.8年,店面,25.51,16.35,2廳1衛(含加蓋1衛),1樓/4樓,無車位,5188,0390CX
近捷運公園美妝收租,台北市信義區林口街,55.7年,公寓,22.95,22.95,6房3廳3衛(含加蓋2房1廳1衛),4樓/4樓,無車位,2980,4639JD
捷運出口超站Ｓ金店超站S,台北市大同區民權西路,6.3年,店面,36.8,17.46,1廳1衛,1樓/19樓,坡道平面車位,5800,8826VV
ＡＡ大龍燦坤透天店面,台北市大同區大龍街,58.9年,店面,170.5,163.73,20房4廳18衛(含加蓋7房3廳8衛),1-3樓/3樓,無車位,18800,9883KQ
站前許昌商四純辦,台北市中正區許昌街,62.6年,辦公/大樓,163.65,161.42,1廳2衛13室(含加蓋4室),10樓/11樓,無車位,22000,0130YN
信義景綸通商景綸通商大樓,台北市信義區信義路四段,43.6年,辦公/大樓,48.87,38.1,1廳2室,6樓/14樓,無車位,4380,7098KC
圓山帝寶打通戶景觀霸王,台北市士林區承德路四段,預售,大樓,100,55.46,2房3廳4衛,23樓/24樓,兩個以上車位,11280,5995UG
『置產』紗帽路土地,台北市北投區紗帽路,,土地,61.42,,18房18衛(含加蓋18房18衛),1-3樓/3樓,無車位,1288,69958P
近公車站陽明山稀有土地,台北市士林區平菁街,,土地,548.16,,,,無車位,1330,6269FC
【嚴選】內湖路二段店面,台北市內湖區內湖路二段,44.0年,店面/公寓,28.88,17.65,2廳1衛1室(含加蓋1廳1室),1樓/5樓,無車位,3588,65108N
萬豪大直時代廣場信義專任台北時代廣場,台北市中山區植福路,10.0年,辦公,105.37,50.2,1廳,5樓/10樓,兩個以上車位,12900,09836N
華固ＳＯＨＯ坡平車位,台北市文山區羅斯福路六段,8.7年,單售車位,10.77,0,,--,坡道平面車位,168,66405P
近西門貴陽機械車位２,台北市萬華區貴陽街二段,31.4年,單售車位,3.82,0,,--,升降機械車位,85,5614NZ
★信義光復面寬金店,台北市大安區文昌街,43.8年,其它,60.41,30.89,1房1廳1衛2室(含加蓋1室),B1-1樓/7樓,無車位,6980,5805LK
景美坡平大車位景美綠地,台北市文山區景興路,30.5年,單售車位,8.58,0,,--,坡道平面車位,280,0303SH
＜專任＞面中和街３樓公寓,台北市北投區中和街,47.2年,公寓,18.86,18.87,3房1廳1衛(含加蓋1房),3樓/5樓,無車位,1168,9668JW
南京復興站旁角窗店面,台北市中山區遼寧街,40.9年,店面,9.93,9.06,2廳1衛2室(含加蓋2室),1樓/5樓,無車位,2680,3033MF
專約新生北優質車位,台北市中山區新生北路三段,33.1年,單售車位,6.07,0,,--,升降機械車位,130,8893SZ
永康紀休旅車位永康紀,台北市大安區永康街,18.1年,單售車位,2.25,0,,--,塔式車位,280,2037CK
合江街正門牌公寓,台北市中山區合江街,54.8年,公寓,14.25,14.25,3房3衛,4樓/4樓,無車位,1500,7372VZ
正吉林路馬路邊金店,台北市中山區吉林路,53.1年,店面,25.31,18.42,1廳1衛,1樓/4樓,無車位,4500,0627MK
南京新貴Ｂ１平面車位南京新貴,台北市松山區八德路四段,34.3年,單售車位,10.65,0,,--,坡道平面車位,350,9733LN
忠駝國宅美三房忠駝國宅,台北市信義區基隆路一段,42.1年,大樓,38.71,30.01,3房2廳2衛,12樓/12樓,無車位,3716,7842AU
文大菁山靜巷住宅區土地,台北市士林區菁山路,,土地,179.13,,,,無車位,824,0923DP
陽明山稀有土地,台北市北投區東昇路,,土地,1254.38,,,,無車位,8500,68326K
士林小北街光華段持分土地,台北市士林區小北街,,土地,6.15,,,,無車位,600,4365JV
稀有陽明山保護區土地,台北市士林區平菁街,,土地,715.65,,,,無車位,4294,0797FN
天母電梯坡道平面車位,台北市士林區天母西路,43.7年,華廈,85.06,45.22,3房4廳4衛6室(含加蓋1房1廳2衛1室),7樓/7樓,坡道平面車位,5280,03153P
農安街晴光夜市角窗金店,台北市中山區農安街,49.0年,店面,38.58,31.49,1廳1衛2室(含加蓋1衛1室),1樓/9樓,無車位,8600,65794K
士林官邸稀有透天,台北市士林區中山北路五段,57.4年,透天,29.95,29.95,4房2廳2衛,1-2樓/2樓,無車位,7380,55580M
士北科工業廠房首選,台北市士林區通河東街一段,36.3年,廠房/辦公,78.89,73.86,1廳1室,3樓/5樓,無車位,4080,28988G
誠售｜東湖店面好美,台北市內湖區康樂街,31.4年,店面,45.69,32.81,1廳1衛,1樓/8樓,無車位,6580,45352E
士北科景觀美廈,台北市士林區通河東街二段,46.4年,華廈,68.79,63.78,8房1廳5衛,7樓/7樓,無車位,5998,46293Z
歐峰地下２樓車位歐峰,台北市內湖區港墘路,24.3年,單售車位,5.8,0,,--,坡道機械車位,188,54775Z
穩定置產高收租一樓,台北市松山區新東街,52.2年,公寓,33.21,30.8,8房2廳10衛(含加蓋3房3衛),1樓/4樓,無車位,5880,43256P
捷運出口面寬金店面,台北市南港區玉成街,47.0年,店面,81.92,59.47,1廳2衛1室,1樓/6樓,無車位,31888,40688T
士林優質廠辦１,台北市士林區通河東街一段,36.3年,廠房/辦公,80.96,75.63,1廳3衛3室,2樓/5樓,無車位,4150,31091H
正長春路人潮店面,台北市中山區長春路,36.3年,店面,17.52,10.1,1廳1衛(含加蓋1衛),1樓/12樓,無車位,3700,01036H
近捷運台電大樓車位康正大廈,台北市大安區羅斯福路三段,44.8年,單售車位,6.67,0,,--,升降機械車位,145,0445CL
稀有車位＊東新街都泊林都泊林,台北市南港區東新街,22.8年,單售車位,11.07,0,,--,坡道平面車位,298,0596TR
國王雙子星★高樓小豪宅,台北市大同區重慶北路一段,預售,大樓,12.4,8.18,1房1廳1衛,25樓/28樓,無車位,2188,8138VJ
八德路黑土收租好屋,台北市中山區八德路二段,62.4年,公寓,32.31,30.38,8房8衛(含加蓋5房4衛),2-3樓/3樓,無車位,3988,8029JX
敦南金鑽店面藍天凱悅,台北市大安區敦化南路二段,39.9年,店面,17.81,14.07,1廳1衛,1樓/26樓,無車位,6850,1676WB
台電捷運新潤泰雙子星店面,台北市中正區辛亥路一段,7.2年,店面,17.36,14.47,1廳1衛,1樓/15樓,無車位,4188,0467KF
正長安西陽光地下室,台北市大同區長安西路,51.5年,其它,32.17,32.17,1廳1衛1室,-1樓/5樓,無車位,5280,1643NC
站前一樓【稀有】小資首選,台北市南港區東明街,49.6年,公寓/店面,12.23,10.18,1房1廳,1樓/4樓,無車位,1460,6942YW
世新管院旁金雞母＄＄＄,台北市文山區木柵路一段,47.3年,公寓,23.28,23.28,7房7衛(含加蓋3房3衛),5樓/5樓,無車位,1968,6947US
仁愛路三段稀有車位釋出,台北市大安區仁愛路三段,26.0年,單售車位,2.44,0,,--,塔式車位,168,2805BP
璞園⭐換約倒數⭐平面車位,台北市北投區榮華一路,預售,大樓,53.33,27.61,2房2廳2衛,8樓/13樓,升降平面車位,5480,8793ZN
昇陽國際信義計畫區地標,台北市信義區基隆路一段,預售,辦公/大樓,44.44,20.9,1廳1衛1室,3樓/31樓,坡道平面車位,5800,4282RW
敦北民生人潮金店面,台北市松山區民生東路四段,43.8年,店面,36.64,14.4,2廳2衛(含加蓋1廳1衛),1樓/7樓,無車位,6580,9772GH
鑽石地段黃金三樓,台北市大安區敦化南路一段,62.8年,公寓,29.54,29.54,3房2廳1衛,3樓/4樓,無車位,3988,9611YQ
松江長安角間店面,台北市中山區長安東路二段,56.4年,店面/辦公,14.43,12.55,1廳1衛,1樓/4樓,無車位,2480,5528LT
台北大學住三透天,台北市中山區合江街,67.0年,別墅/透天,49.43,49.43,4房5廳3衛(含加蓋1房),1-2樓/2樓,無車位,9800,1761PD
忠孝復興稀有車位,台北市大安區忠孝東路三段,13.1年,單售車位,6.07,0,,--,塔式車位,198,5233KV
雙子星商三透天金店面,台北市大同區重慶北路一段,109.5年,店面,18,14,3房3廳2衛(含加蓋3房2廳1衛),1樓/1樓,無車位,12500,1048LL
內湖低樓層首選,台北市內湖區安康路,43.8年,公寓,23.56,23.55,2房2廳1衛,3樓/4樓,無車位,1348,3878CW
優質感民生敦北金店望虹園,台北市松山區民生東路三段,46.5年,店面,29.11,13.96,2廳1衛,B1-1樓/7樓,無車位,2999,9055TU
松山高興便捷純辦優選,台北市松山區基隆路一段,30.7年,辦公/大樓,94.9,56.05,6房2廳,5樓/18樓,兩個以上車位,5880,4420JQ
大稻埕唯我獨尊三百坪店辦,台北市大同區延平北路二段,46.5年,店面,375.05,105.71,13房5廳4衛2室,B1-1樓/11樓,無車位,10416,5958MJ
大稻埕一樓大空間店辦,台北市大同區延平北路二段,46.5年,店面/辦公/大樓,155.42,105.71,8房2廳2衛2室,1樓/11樓,無車位,7980,3315SH
大直⭐精品⭐珍稀露臺⭐雅璞涵館,台北市中山區堤頂大道二段,14.9年,辦公,65.45,27.14,3房2廳2衛,3樓/10樓,兩個以上車位,5688,5876TH
杭州南路稀有店面,台北市中正區杭州南路二段,44.3年,店面,47.02,24.23,1廳1衛1室(含加蓋1衛1室),1樓/7樓,無車位,8888,0686GG
★中山北美源大廈稀有釋出,台北市中山區中山北路三段,43.4年,辦公/大樓,36.77,29.22,2廳2衛1室,4樓/12樓,無車位,3188,3997BJ
松江南京旁稀有金店面釋出,台北市中山區伊通街,56.4年,店面,28.09,23.62,2房2廳2衛,1-2樓/4樓,無車位,8898,2527UY
南京三民店辦一樓,台北市松山區南京東路五段,48.4年,店面/辦公,28.92,23.85,1廳1衛1室,1樓/6樓,無車位,3580,7007HM
車位另洽邊間四房美廈,台北市北投區行義路,42.8年,華廈,57.37,53.94,4房2廳2衛,6樓/7樓,無車位,3400,2411CF
林森收租保值一樓,台北市中山區林森北路,52.9年,華廈,35.66,33.41,5房5衛,1樓/7樓,無車位,2298,3570WZ
雙子星特區商三土地透天,台北市大同區太原路,63.3年,透天,52.63,50.36,3房5廳4衛3室(含加蓋1房1廳1衛2室),1-3樓/3樓,無車位,9800,5691CJ
內湖捷運－穩盈一樓收租宅,台北市內湖區內湖路三段,48.3年,公寓,23.66,21.25,5房5衛,1樓/4樓,無車位,2180,9239NN
西門家樂福角窗店面,台北市萬華區柳州街,17.8年,店面,74.21,21.47,1廳1衛,1樓/12樓,兩個以上車位,5888,2420WY
【精選】晴光商圈金店面,台北市中山區農安街,37.5年,店面/辦公,33.73,14.01,2房2廳1衛1室(含加蓋1房1廳1衛1室),1樓/5樓,無車位,3680,0179CF
中山北收租六套房,台北市中山區中山北路一段,48.1年,套房,49,49,6房6衛1室(含加蓋1室),2樓/4樓,無車位,3300,5416SS
虎林市場●近捷運公寓四樓,台北市信義區虎林街,24.0年,公寓,28.39,23.72,3房2廳2衛,4樓/5樓,無車位,2680,5144LL
ＡＡ台大公館１店戀戀台大,台北市中正區羅斯福路四段,19.8年,店面,20.48,8.65,1廳,1樓/15樓,無車位,10800,67550X
東區精品服飾庭園店面,台北市大安區敦化南路一段,38.8年,店面,43.34,37.26,1房1廳1衛(含加蓋1房),1樓/7樓,無車位,11980,5577TC
嘉興街潛力透天,台北市信義區嘉興街,49.6年,透天,26.33,26.33,4房2廳2衛,1-2樓/2樓,無車位,6588,8866FH
國美氣派帷幕辦公,台北市內湖區瑞光路,22.4年,辦公/廠房,279.91,141.84,1廳,5樓/10樓,兩個以上車位,15919,2306WT
西湖之星全棟企總,台北市內湖區基湖路,2.3年,辦公,560.03,284.22,7廳,1-7樓/7樓,兩個以上車位,43375,54906S
捷運賣場低總有管理電梯,台北市北投區復興四路,49.0年,華廈/套房,10.32,9.24,1房1廳1衛,4樓/6樓,無車位,750,1373VV
信義路永康東門大車位信義新象,台北市大安區永康街,17.5年,單售車位,0.69,0,,--,塔式車位,120,5201JC
康樂濱湖園多層樓大空間濱湖園,台北市內湖區康樂街,39.2年,公寓,72.83,60.02,5房3廳4衛,1-2樓/3樓,無車位,4588,6990JC
敦南＆基隆雙車位,台北市大安區基隆路二段,30.1年,單售車位,12.2,0,,--,兩個以上車位,430,2704WC
大橋捷運出口人潮旺金店,台北市大同區延平北路三段,53.4年,店面,180.66,85.03,17房3廳4衛,B1-1樓/7樓,無車位,14355,90732U
置產！豐年一小段持分農地,台北市北投區大業路,,土地,95.5,,,,無車位,1318,36203J
大安區全坤御峰旁角地,台北市大安區基隆路二段,,土地,36.3,,,,無車位,9080,5496KU
巨蛋精美優質四房,台北市松山區八德路四段,49.8年,公寓,38.58,33.29,5房2廳2衛(含加蓋1房2衛),1樓/4樓,無車位,4000,53245N
鋼骨制震·安家秀兩房,台北市萬華區貴陽街二段,預售,大樓,24.97,16.53,2房2廳1衛,5樓/23樓,無車位,2758,0441ZC
士林夜市超值店面,台北市士林區文林路,48.0年,店面,18.18,11.96,1廳1衛,1樓/5樓,無車位,6280,1255RY
小朋友才做選擇我全都要景星學苑,台北市文山區景華街,18.1年,單售車位,17.21,0,,--,兩個以上車位,998,2136NC
巨蛋一樓包租屋泰盛大樓,台北市松山區光復北路,36.7年,大樓,34.03,26,4房4衛,1樓/12樓,無車位,2958,6111KM
天玉蘭桂坊”車位”蘭桂坊,台北市士林區天玉街,28.5年,單售車位,3.55,0,,--,升降機械車位,200,6768BS
法國玫瑰停車位５,台北市中山區松江路,20.8年,單售車位,9.76,0,,--,塔式車位,130,7838TK
法國玫瑰停車位９,台北市中山區松江路,20.8年,單售車位,9.76,0,,--,塔式車位,130,7258YF
民生東稀有面寬角店凡爾賽,台北市松山區民生東路三段,41.3年,店面/辦公/大樓,40.15,34.71,2廳2衛2室(含加蓋1衛),1樓/12樓,無車位,8800,7544TC
哈密街．金店面,台北市大同區哈密街,46.6年,店面/辦公,26.93,19.58,1房1廳1衛(含加蓋1房),1樓/5樓,無車位,3300,2475PN
【車位】三興超值車位,台北市信義區吳興街,32.9年,單售車位,4.86,0,,--,升降機械車位,99,0990JB
新明路美屋況河景辦公室,台北市內湖區新明路,43.9年,辦公,82.12,80.49,1房2廳3衛3室,4樓/7樓,無車位,5300,4211XN
商三透天★天母東路第一排,台北市士林區天母東路,59.3年,店面,44.75,44.75,2房3廳2衛2室(含加蓋1廳),1-2樓/2樓,無車位,13800,3027YZ
低總價輕鬆當老闆,台北市中山區中山北路三段,47.7年,店面,16.44,10.2,1廳,2樓/14樓,無車位,900,1021BN
捷運大安站三角窗金店,台北市大安區復興南路二段,47.0年,店面/辦公,25.16,8.54,1廳1衛1室,1樓/8樓,無車位,8380,6377DM
士林低總價透天,台北市士林區重慶北路四段,58.6年,透天,34.34,34.34,4房3廳2衛(含加蓋1房1廳),1-2樓/2樓,無車位,2680,0334QP
北投出租套房［五樓］,台北市北投區中央北路三段,60.8年,公寓,43.9,43.9,5房1廳5衛,5樓/5樓,無車位,1500,2662DF
典藏吳興１０６巷１樓,台北市信義區吳興街,47.8年,公寓,28.79,16.41,4房2廳1衛(含加蓋1房1廳1衛),1樓/5樓,無車位,3300,6675SK
店長推薦坡道平面車位好停,台北市松山區民生東路三段,39.7年,單售車位,13.08,0,,--,坡道平面車位,299,5760ZS
東區名人巷邊間精品店面,台北市大安區忠孝東路四段,50.9年,店面,53.35,46.56,2廳2衛,1樓/4樓,無車位,13980,2883GM
圓山帝寶Ａ１山河景觀,台北市士林區承德路四段,預售,大樓,45.01,24.69,1房2廳2衛,23樓/24樓,坡道平面車位,5188,9204UC
圓山帝寶Ａ２次高樓山景,台北市士林區承德路四段,預售,大樓,54.97,30.77,1房2廳2衛,23樓/24樓,坡道平面車位,6386,8859JY
北市關渡段持分土地,台北市北投區承德路七段,,土地,38.82,,,,無車位,1250,34281P
好山好水退休首選,台北市南港區研究院路三段,,土地,1259.31,,2房1廳2衛(含加蓋2房1廳2衛),1-1樓/1樓,無車位,1598,4825GK
正面公園住辦大空間一樓,台北市信義區吳興街,33.2年,店面/華廈,45.64,36.12,6房6衛,1樓/6樓,無車位,4980,31579S
廣隆美廈立院特區,台北市中正區鎮江街,51.0年,華廈/辦公,40.45,37.63,2房1廳2衛3室,5樓/7樓,無車位,3800,1016JQ
近西門貴陽機械車位,台北市萬華區貴陽街二段,31.4年,單售車位,3.82,0,,--,升降機械車位,85,3379JK
石牌商城傳家金店面,台北市北投區裕民三路,49.2年,店面,18.73,13.03,1廳1衛,1樓/4樓,無車位,6280,7734PR
中山南西機械車位,台北市中山區中山北路一段,27.0年,單售車位,3.16,0,,--,升降機械車位,98,7429RV
東區升降平面車位限高２米,台北市大安區忠孝東路四段,35.6年,單售車位,4.53,0,,--,升降平面車位,250,4100LT
近１０１大樓坡平車位新世界,台北市信義區松勤街,17.8年,單售車位,10.57,0,,--,坡道平面車位,420,1583SQ
錦州雙拼美妝華廈,台北市中山區錦州街,41.6年,華廈,24.65,23.4,4房2廳2衛(含加蓋1廳),2樓/7樓,無車位,2480,8154LP
基泰香榭升降平面車位,台北市中山區民族東路,32.8年,單售車位,9.14,0,,--,升降平面車位,220,0319PW
大直明水悅車位明水悅,台北市中山區明水路,18.4年,單售車位,4.52,0,,--,坡道機械車位,180,0225MU
長春路停車塔車位（１）,台北市中山區長春路,23.2年,單售車位,1.48,0,,--,塔式車位,180,35622K
長春路停車塔車位（２）,台北市中山區長春路,23.2年,單售車位,1.48,0,,--,塔式車位,180,90330J
長春路停車塔車位（３）,台北市中山區長春路,23.2年,單售車位,1.48,0,,--,塔式車位,180,65795J
長春路停車塔車位（４）,台北市中山區長春路,23.2年,單售車位,1.48,0,,--,塔式車位,180,88457F
長春路停車塔車位（５）,台北市中山區長春路,23.2年,單售車位,1.48,0,,--,塔式車位,180,86061Z
大直時代廣場豪華辦公Ａ台北時代廣場,台北市中山區樂群二路,10.0年,辦公,100.02,49.81,1廳7室(含加蓋1室),6樓/10樓,兩個以上車位,12980,6194HH
大直時代廣場豪華辦公Ｂ台北時代廣場,台北市中山區樂群二路,10.0年,辦公,100.08,49.86,1廳2室(含加蓋1室),6樓/10樓,兩個以上車位,12980,15028K
東區全聯超市店面,台北市大安區延吉街,28.8年,店面,22.98,16.66,2廳,1樓/5樓,無車位,12000,66968C
湖適套房＋１４個平面車位湖適,台北市內湖區成功路二段,27.1年,套房/單售車位,191.84,9.14,1房1廳1衛,9樓/11樓,兩個以上車位,3988,7414NR
陽明山溪畔秘境土地珠寶盒,台北市士林區永公路,,土地,8886.89,,,,無車位,35600,73955Q
萬全街小地坪透天,台北市大同區萬全街,,土地/透天,9.68,,4房1廳5衛(含加蓋4房1廳5衛),1-5樓/5樓,無車位,1900,2874PW
北市大路寬角間旁黑金土地,台北市大同區哈密街,,土地,66.55,,,,無車位,11288,9008XQ
海芋大道喝咖啡悠閒農地Ｂ,台北市北投區竹子湖路,,土地,382.29,,1室(含加蓋1室),0樓/0樓,無車位,3068,94989B
陽明山低總價農牧土地,台北市士林區至善路三段,,土地,313.79,,,,無車位,980,0323FH
平菁街２９１坪臨路土地,台北市士林區平菁街,,土地,291.29,,,,無車位,1820,6963AR
陽明山平菁街萬坪土地,台北市士林區平菁街,,土地,13177.19,,,,無車位,68600,9604AP
平菁街９４５坪臨路土地,台北市士林區平菁街,,土地,945.02,,,,無車位,5900,0548QP
菁山路邊間大土地,台北市士林區菁山路,,土地,1939.02,,,,無車位,23000,0018AR
永公路２４７坪臨路土地,台北市士林區永公路,,土地,247.45,,,,無車位,1700,1237DJ
店長推薦雙敦化學區好棒,台北市松山區延吉街,69.4年,店面/透天,12.84,12.84,2廳1衛(含加蓋2廳1衛),1-1樓/1樓,無車位,5400,29191U
住三土地便宜屋,台北市士林區中正路,39.1年,公寓/倉庫,23.75,23.11,1廳,-1樓/5樓,無車位,680,40828A
金匯●三角窗金店面,台北市大安區基隆路二段,40.5年,店面,26.32,15.62,3房3廳2衛(含加蓋3房1廳),1樓/5樓,無車位,6000,40700L
《錢進劍潭》福氣小金雞,台北市士林區福港街,47.1年,公寓,30.03,27.56,4房4衛,1樓/5樓,無車位,2458,80412C
近士林捷運站傳家透天,台北市士林區中正路,61.5年,透天/土地,38.56,38.56,7房4廳4衛(含加蓋4房1廳1衛),1-2樓/2樓,無車位,11980,21558S
小巨蛋旁收租車位,台北市松山區敦化北路,30.5年,單售車位,3.25,0,,--,升降機械車位,120,19674H
晴光德惠包租首選,台北市中山區德惠街,43.6年,大樓,29.22,25.59,3房3衛1室,2樓/11樓,無車位,2200,14303P
松勤街★信義區★金店面,台北市信義區松勤街,36.5年,店面,47.9,19.45,1房2廳1衛(含加蓋1房),B1-1樓/7樓,無車位,5480,4644JW
內科知名超商珠寶盒,台北市內湖區內湖路一段,16.6年,店面,123.56,53.29,1廳1室,1樓/8樓,兩個以上車位,18000,7275CW
正興隆路上萬芳醫院旁店面,台北市文山區興隆路三段,,店面,15.4,15.4,1房3廳3衛(含加蓋1房2廳2衛),1-1樓/1樓,無車位,4300,2382RV
★精裝南京阿曼火熱釋出,台北市中山區南京東路三段,預售,大樓,18.99,9.45,1房1廳1衛,2樓/15樓,其他,2450,0921TQ
汀洲路餐飲店面適文武百業,台北市中正區汀州路二段,33.0年,店面,28.67,24.33,1廳1衛,1樓/6樓,無車位,4500,7602JV
敦化之星樓中樓,台北市松山區敦化北路,55.3年,大樓,61.82,59.51,4房2廳2.5衛4室(含加蓋2室),5-6樓/12樓,無車位,7680,6381BK
穩定收租裝潢東區店面,台北市大安區仁愛路四段,47.1年,店面,40.71,32.76,3廳2衛,1樓/7樓,無車位,9800,1269DL
信義區北城世貿百坪大辦公,台北市信義區松隆路,33.9年,辦公/大樓,129.73,82.49,5房2廳,9樓/19樓,兩個以上車位,7000,9279WR
東湖黃金大店辦,台北市內湖區安泰街,41.0年,店面/辦公,70.37,29.35,2房3廳2衛4室(含加蓋1廳3室),1樓/5樓,無車位,2980,1780GD
寶清靜巷收租置產透天,台北市松山區寶清街,60.3年,透天,40.14,40.14,9房1廳11衛(含加蓋1房1廳4衛),1-2樓/2樓,無車位,4500,1742BC
市府商圈稀有電梯收租惠安大樓,台北市信義區永吉路,40.7年,大樓,45.25,36.07,6房6衛,2樓/12樓,無車位,3580,8795KG
正行善路一樓店面宏泰Home,台北市內湖區行善路,11.8年,店面,37.96,21.51,1廳1衛1室,1樓/14樓,無車位,4888,1202NT
北市低總車位,台北市萬華區昆明街,25.8年,單售車位,3.93,0,,--,塔式車位,69,0103BW
內科企業總部,台北市內湖區基湖路,19.2年,辦公,406.08,173.48,3廳1衛11室,9樓/10樓,兩個以上車位,23800,5510VM
大帝國高樓商辦大戶,台北市內湖區基湖路,19.2年,辦公,302.02,126.99,2廳1衛6室,9樓/10樓,兩個以上車位,17800,2441XF
信義世貿１０１·好停車位,台北市信義區信義路四段,25.8年,單售車位,0.95,0,,--,塔式車位,150,6050VH
✓捷運萬大線收租透天,台北市萬華區德昌街,56.5年,店面/透天,66.55,65.33,4房6廳4衛1室(含加蓋1廳1衛1室),1-3樓/3樓,無車位,6700,7701VM
北車善導好停車位１,台北市中正區林森北路,28.3年,單售車位,2.55,0,,--,其他,150,6759VS
林森北路市民口好停車位２,台北市中正區林森北路,28.3年,單售車位,2.55,0,,--,其他,115,9373GU
誠意售出－陽明山稀有別墅,台北市士林區新安路,87.9年,透天/土地,35.09,22.08,6房3廳8衛4室(含加蓋6房3廳8衛4室),1-2樓/2樓,無車位,14800,2793QP
南京東路五段路邊金店面,台北市松山區南京東路五段,23.3年,店面,20.23,12.03,1廳1室,1樓/11樓,無車位,2388,9977CN
天水大空間毛胚可住可辦,台北市大同區天水路,47.5年,華廈,93.52,82.23,1廳1衛,4樓/8樓,無車位,8680,7948CZ
劍潭捷運～圓山窗外,台北市士林區基河路,20.8年,辦公/其它/大樓,21.03,12.47,2房2廳2衛(含加蓋2房2衛),7樓/11樓,無車位,3238,9011RH
鳳翔芳鄰坡平車位,台北市大安區仁愛路四段,51.4年,單售車位,9.94,0,,--,坡道平面車位,450,7714QS
捷運西門開封街２樓住辦店,台北市萬華區開封街二段,41.4年,華廈/辦公,72.11,54.73,7房2廳3衛,2樓/9樓,無車位,4980,3876YT
羅斯福坡平車位３９,台北市中正區羅斯福路二段,29.6年,單售車位,13.32,0,,--,坡道平面車位,380,3411QR
台視附近一樓雙敦面寬車庫,台北市松山區八德路三段,49.8年,公寓,83.7,46.14,5房4廳4衛,B1-1樓/4樓,無車位,8768,8036UF
土地持分大．收租公寓２樓,台北市大同區延平北路四段,59.0年,公寓,21.97,21.97,2房2廳1衛,2樓/3樓,無車位,1860,6887TM
臨江連鎖透天邊間店面,台北市大安區臨江街,52.3年,店面,63.24,63.24,3廳1衛1室(含加蓋1廳1室),1-3樓/3樓,無車位,25800,4995SP
天母靜巷美麗一樓,台北市士林區天母北路,46.5年,公寓,31.93,27.66,3房2廳2衛3室(含加蓋1房2室),1樓/5樓,無車位,3480,6802DD
安家藏玉稀有高樓兩房,台北市中正區忠孝東路二段,預售,大樓,25.67,16.43,1廳1衛,10樓/21樓,無車位,3650,1222SZ
微風旁人潮潛力店面,台北市松山區市民大道四段,59.6年,店面,56.23,44.61,2廳2衛,1樓/4樓,無車位,15800,9916GP
