標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
拓真‧眺望海景宅附平車泰嘉拓真,高雄市楠梓區大學二十一路,1.6年,大樓,52.38,28.01,2房2廳2衛,5樓/15樓,坡道平面車位,1,3363WJ,2025-10-01 15:20:05
台場町｜高樓景觀二房車位台場町,高雄市前鎮區翠亨北路,18.0年,大樓,27.69,16.89,2房1廳1衛,16樓/18樓,坡道機械車位,899,7393KN,2025-10-01 15:20:05
３１期溫馨成家兩房平車龍騰首席,高雄市前鎮區光華三路,19.3年,大樓,33.81,16.16,2房2廳1衛,7樓/15樓,坡道平面車位,1,47267N,2025-10-01 15:20:05
左營高鐵向學三房平車向學,高雄市左營區重孝路,11.3年,大樓,47.3,24.71,3房2廳2衛,12樓/14樓,坡道平面車位,1,1596HG,2025-10-01 15:20:05
河堤景觀五房雙平車京城3期,高雄市三民區裕誠路,27.7年,大樓,104.06,70.91,5房2廳3衛,10樓/14樓,兩個以上車位,2,6707US,2025-10-01 15:20:05
高雄低總價好Ａ三房平車高雄第一A,高雄市左營區榮成三街,28.1年,華廈,39.83,25.54,3房2廳2衛,4樓/8樓,坡道平面車位,1,5788RZ,2025-10-01 15:20:05
巨蛋大坪美宅附平面車位麗陽樓,高雄市左營區南屏路,26.5年,大樓,49.56,31.11,2房2廳2衛,3樓/13樓,坡道平面車位,1,2437FB,2025-10-01 15:20:05
橋頭新市鎮捷運旁三房平車,高雄市橋頭區經武路,6.8年,大樓,52.15,28.17,3房2廳2衛,11樓/24樓,坡道平面車位,1,2153HU,2025-10-01 15:20:05
邊間三樓溫馨亮麗四房美寓,高雄市前鎮區台鋁南巷,52.8年,公寓,37.56,37.56,4房2廳2衛,3樓/4樓,無車位,798,8493UW,2025-10-01 15:20:05
決心處理巨蛋花賞三房平車花賞,高雄市左營區辛亥路,12.9年,大樓,66.04,37.22,3房2廳2衛,21樓/24樓,坡道平面車位,2,49300N,2025-10-01 15:20:05
多城精美三房平車。C,高雄市鳳山區文殿街,14.1年,大樓,42.36,21.7,3房2廳2衛,3樓/15樓,坡道平面車位,1,30358M,2025-10-01 15:20:05
太普明日站次高美居平車太普明日站,高雄市三民區通化街,7.2年,大樓,39.3,20.62,1房2廳1衛1室,14樓/15樓,坡道平面車位,1,2748QT,2025-10-01 15:20:05
富國大街凹子底三房平車富國大街,高雄市左營區嘉慶街,24.0年,大樓,40.53,23,3房2廳2衛,2樓/14樓,坡道平面車位,1,0524KY,2025-10-01 15:20:05
左營景觀三房平車悅誠,高雄市左營區桃子園路,4.9年,大樓,44.34,24.06,3房2廳2衛,17樓/18樓,坡道平面車位,1,6823TG,2025-10-01 15:20:05
【度假首選】質感三房平車棋琴十八重奏,高雄市三民區十全二路,8.9年,大樓,52.76,29.14,3房2廳2衛,13樓/24樓,坡道平面車位,2,4481DW,2025-10-01 15:20:05
巨蛋瑞豐蓮潭景觀三房車位都市麗晶,高雄市鼓山區華豐街,23.3年,大樓,38.91,24.95,3房2廳2衛,11樓/14樓,坡道機械車位,1,2896RK,2025-10-01 15:20:05
美術館☀️耘翠三房平車光洲耘翠,高雄市鼓山區美術東四路,5.5年,大樓,55.11,28.49,3房2廳2衛,6樓/23樓,坡道平面車位,2,3630VG,2025-10-01 15:20:05
永信瑞祥．高樓兩房車位瑞祥-保泰區,高雄市前鎮區班超路,7.6年,大樓,35.49,17.26,2房2廳1衛,11樓/11樓,坡道機械車位,1,3911NY,2025-10-01 15:20:05
