113,,112,,111,,110,,109,,108,,107,,106,,105,,104,,103,,102,,101,
區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 
　梧棲區　,"62,701",　梧棲區　,"61,019",　梧棲區　,"59,848",　梧棲區　,"59,517",　梧棲區　,"59,273",　梧棲區　,"58,921",　梧棲區　,"58,218",　梧棲區　,"57,993",　梧棲區　,"57,645",　梧棲區　,"57,108",　梧棲區　,"56,643",　大里區　,"204,846",　大里區　,"203,239"
　后里區　,"53,309",　后里區　,"53,653",　后里區　,"53,667",　后里區　,"53,961",　后里區　,"54,343",　后里區　,"54,666",　后里區　,"54,775",　后里區　,"54,482",　后里區　,"54,332",　后里區　,"54,344",　后里區　,"54,106",※和平區　,"10,589",※和平區　,"10,556"
　神岡區　,"64,007",　神岡區　,"64,362",　神岡區　,"64,308",　神岡區　,"64,841",　神岡區　,"65,529",　神岡區　,"65,679",　神岡區　,"65,711",　神岡區　,"65,553",　神岡區　,"65,496",　神岡區　,"65,178",　神岡區　,"64,956",臺  南  市　,"1,883,208",臺  南  市　,"1,881,645"
　潭子區　,"109,415",　潭子區　,"108,979",　潭子區　,"108,639",　潭子區　,"109,270",　潭子區　,"109,309",　潭子區　,"109,324",　潭子區　,"108,952",　潭子區　,"108,288",　潭子區　,"107,530",　潭子區　,"106,557",　潭子區　,"105,165",　新營區　,"78,521",　新營區　,"78,475"
　大雅區　,"95,229",　大雅區　,"95,708",　大雅區　,"95,275",　大雅區　,"95,521",　大雅區　,"95,693",　大雅區　,"95,772",　大雅區　,"95,815",　大雅區　,"95,203",　大雅區　,"94,488",　大雅區　,"93,661",　大雅區　,"92,628",　鹽水區　,"26,426",　鹽水區　,"26,695"
　新社區　,"22,849",　新社區　,"23,089",　新社區　,"23,283",　新社區　,"23,650",　新社區　,"24,064",　新社區　,"24,289",　新社區　,"24,576",　新社區　,"24,754",　新社區　,"24,947",　新社區　,"25,086",　新社區　,"25,242",　白河區　,"30,178",　白河區　,"30,602"
　石岡區　,"13,877",　石岡區　,"14,093",　石岡區　,"14,154",　石岡區　,"14,419",　石岡區　,"14,670",　石岡區　,"14,758",　石岡區　,"14,956",　石岡區　,"15,066",　石岡區　,"15,174",　石岡區　,"15,295",　石岡區　,"15,405",　柳營區　,"21,932",　柳營區　,"22,160"
　外埔區　,"30,902",　外埔區　,"31,163",　外埔區　,"31,264",　外埔區　,"31,564",　外埔區　,"31,940",　外埔區　,"32,224",　外埔區　,"32,230",　外埔區　,"32,185",　外埔區　,"32,034",　外埔區　,"31,899",　外埔區　,"31,800",　後壁區　,"24,910",　後壁區　,"25,280"
　大安區　,"17,793",　大安區　,"18,073",　大安區　,"18,230",　大安區　,"18,485",　大安區　,"18,864",　大安區　,"19,111",　大安區　,"19,267",　大安區　,"19,303",　大安區　,"19,409",　大安區　,"19,542",　大安區　,"19,654",　東山區　,"22,195",　東山區　,"22,529"
　烏日區　,"81,284",　烏日區　,"80,194",　烏日區　,"78,122",　烏日區　,"77,245",　烏日區　,"76,494",　烏日區　,"75,610",　烏日區　,"75,372",　烏日區　,"74,554",　烏日區　,"73,647",　烏日區　,"72,514",　烏日區　,"71,520",　麻豆區　,"45,230",　麻豆區　,"45,377"
