縣市,行政區,113年第四季,113年第三季,113年第二季,113年第一季,112年第四季,112年第三季,112年第二季,112年第一季,111年第四季,111年第三季,111年第二季,111年第一季,110年第四季,110年第三季,110年第二季,110年第一季,109年第四季,109年第三季,109年第二季,109年第一季,108年第四季,108年第三季,108年第二季,108年第一季,107年第四季,107年第三季,107年第二季,107年第一季,106年第四季,106年第三季,106年第二季,106年第一季,105年第四季,105年第三季,105年第二季,105年第一季,104年第四季,104年第三季,104年第二季,104年第一季,103年第四季,103年第三季,103年第二季,103年第一季,102年第四季,102年第三季,102年第二季,102年第一季,101年第四季,101年第三季,101年第二季,101年第一季
桃園市,平鎮區,229389,229389,229389,229389,229686,229686,229686,229686,227810,227810,227810,227810,228203,228203,228203,228203,228611,228611,228611,228611,228436,228436,228436,228436,226412,226412,226412,226412,224219,224219,224219,224219,221587,221587,221587,221587,217887,217887,217887,217887,212328,212328,212328,212328,51953,51953,51953,51953,52403,52403,52403,52403
桃園市,新屋區,49389,49389,49389,49389,49277,49277,49277,49277,49205,49205,49205,49205,49094,49094,49094,49094,49333,49333,49333,49333,49256,49256,49256,49256,49210,49210,49210,49210,48953,48953,48953,48953,48772,48772,48772,48772,48409,48409,48409,48409,48058,48058,48058,48058,77847,77847,77847,77847,77986,77986,77986,77986
桃園市,觀音區,75874,75874,75874,75874,74521,74521,74521,74521,73026,73026,73026,73026,69995,69995,69995,69995,69032,69032,69032,69032,67956,67956,67956,67956,67358,67358,67358,67358,66472,66472,66472,66472,65555,65555,65555,65555,64785,64785,64785,64785,63602,63602,63602,63602,86061,86061,86061,86061,85734,85734,85734,85734
桃園市,復興區,13261,13261,13261,13261,13210,13210,13210,13210,13053,13053,13053,13053,12656,12656,12656,12656,12354,12354,12354,12354,12176,12176,12176,12176,12026,12026,12026,12026,11505,11505,11505,11505,11192,11192,11192,11192,10930,10930,10930,10930,10913,10913,10913,10913,86305,86305,86305,86305,84797,84797,84797,84797
台中市,台中市,2860601,2860601,2860601,2860601,2845909,2845909,2845909,2845909,2814459,2814459,2814459,2814459,2813490,2813490,2813490,2813490,2820787,2820787,2820787,2820787,2815261,2815261,2815261,2815261,2803894,2803894,2803894,2803894,2787070,2787070,2787070,2787070,2767239,2767239,2767239,2767239,2744445,2744445,2744445,2744445,2719835,2719835,2719835,2719835,56008,56008,56008,56008,55857,55857,55857,55857
台中市,中區,17904,17904,17904,17904,17784,17784,17784,17784,17635,17635,17635,17635,17689,17689,17689,17689,18168,18168,18168,18168,18390,18390,18390,18390,18514,18514,18514,18514,18450,18450,18450,18450,18708,18708,18708,18708,19020,19020,19020,19020,19323,19323,19323,19323,54076,54076,54076,54076,54089,54089,54089,54089
台中市,東區,77688,77688,77688,77688,76852,76852,76852,76852,75554,75554,75554,75554,75588,75588,75588,75588,75913,75913,75913,75913,75943,75943,75943,75943,76175,76175,76175,76175,75811,75811,75811,75811,75396,75396,75396,75396,75182,75182,75182,75182,74922,74922,74922,74922,64899,64899,64899,64899,64534,64534,64534,64534
台中市,南區,127188,127188,127188,127188,126907,126907,126907,126907,125466,125466,125466,125466,126008,126008,126008,126008,126769,126769,126769,126769,126571,126571,126571,126571,125874,125874,125874,125874,125067,125067,125067,125067,123502,123502,123502,123502,121786,121786,121786,121786,120128,120128,120128,120128,104471,104471,104471,104471,103516,103516,103516,103516
台中市,西區,113890,113890,113890,113890,113548,113548,113548,113548,112278,112278,112278,112278,112740,112740,112740,112740,114583,114583,114583,114583,115273,115273,115273,115273,115698,115698,115698,115698,115627,115627,115627,115627,115747,115747,115747,115747,115693,115693,115693,115693,115731,115731,115731,115731,91939,91939,91939,91939,91367,91367,91367,91367
台中市,北區,143568,143568,143568,143568,144097,144097,144097,144097,142778,142778,142778,142778,143917,143917,143917,143917,146590,146590,146590,146590,147391,147391,147391,147391,147557,147557,147557,147557,147653,147653,147653,147653,147585,147585,147585,147585,147547,147547,147547,147547,147471,147471,147471,147471,25322,25322,25322,25322,25378,25378,25378,25378
